,Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
0,FOUR koke,41,163,41,1,https://lolchess.gg/profile/KR/FOUR koke
1,GuiKrsh,136,67,28,1,https://lolchess.gg/profile/KR/GuiKrsh
2,FOUR PGarras,181,220,27,1,https://lolchess.gg/profile/KR/FOUR PGarras
3,vakio,383,134,23,1,https://lolchess.gg/profile/KR/vakio
4,TFx Cleiton,943,176,10,1,https://lolchess.gg/profile/KR/TFx Cleiton
5,Gabymar10,81,172,10,1,https://lolchess.gg/profile/KR/Gabymar10
6,BES ego illusion,1054,144,0,0,https://lolchess.gg/profile/KR/BES ego illusion
7,BEE itachi,970,196,0,0,https://lolchess.gg/profile/KR/BEE itachi
8,22komentality,809,115,0,0,https://lolchess.gg/profile/KR/22komentality
9,MAQUINADOKING,664,254,0,0,https://lolchess.gg/profile/KR/MAQUINADOKING
10,Slooper,628,105,0,0,https://lolchess.gg/profile/KR/Slooper
11,BES Toddy,619,167,0,0,https://lolchess.gg/profile/KR/BES Toddy
12,FOUR Sukesvs,607,159,0,0,https://lolchess.gg/profile/KR/FOUR Sukesvs
13,KDA Constantine ,547,215,0,0,https://lolchess.gg/profile/KR/KDA Constantine 
14,BES DobZ,537,122,0,0,https://lolchess.gg/profile/KR/BES DobZ
15,JosneyQT,529,131,0,0,https://lolchess.gg/profile/KR/JosneyQT
16,CPV Shinrii,529,198,0,0,https://lolchess.gg/profile/KR/CPV Shinrii
17,KDA Math108,471,139,0,0,https://lolchess.gg/profile/KR/KDA Math108
18,MJN Fobia,454,160,0,0,https://lolchess.gg/profile/KR/MJN Fobia
19,vsf eunuco,433,177,0,0,https://lolchess.gg/profile/KR/vsf eunuco
20,udison rodrigues,431,82,0,0,https://lolchess.gg/profile/KR/udison rodrigues
21,PedroBanana,424,156,0,0,https://lolchess.gg/profile/KR/PedroBanana
22,Hazte,376,95,0,0,https://lolchess.gg/profile/KR/Hazte
23,FOUR Dianbizir,352,148,0,0,https://lolchess.gg/profile/KR/FOUR Dianbizir
24,20facesLGL,338,106,0,0,https://lolchess.gg/profile/KR/20facesLGL
25,brüninho,334,273,0,0,https://lolchess.gg/profile/KR/brüninho
26,RetiredCardGamer,334,132,0,0,https://lolchess.gg/profile/KR/RetiredCardGamer
27,LeS Neuro,331,145,0,0,https://lolchess.gg/profile/KR/LeS Neuro
28,quavolino,307,169,0,0,https://lolchess.gg/profile/KR/quavolino
29,LeS Zeppelinhu2,285,68,0,0,https://lolchess.gg/profile/KR/LeS Zeppelinhu2
30,Dairon,270,134,0,0,https://lolchess.gg/profile/KR/Dairon
31,Tanju,266,180,0,0,https://lolchess.gg/profile/KR/Tanju
32,BES Midor1ya,264,160,0,0,https://lolchess.gg/profile/KR/BES Midor1ya
33,verme tft,258,307,0,0,https://lolchess.gg/profile/KR/verme tft
34,GVidigal,257,54,0,0,https://lolchess.gg/profile/KR/GVidigal
35,FOUR BieuL,253,143,0,0,https://lolchess.gg/profile/KR/FOUR BieuL
36,KDA Pikáchú,249,100,0,0,https://lolchess.gg/profile/KR/KDA Pikáchú
37,Miguel Arkjow,245,97,0,0,https://lolchess.gg/profile/KR/Miguel Arkjow
38,CPV Tjjuninho,241,112,0,0,https://lolchess.gg/profile/KR/CPV Tjjuninho
39,BEE Soft,238,144,0,0,https://lolchess.gg/profile/KR/BEE Soft
40,FW zns ,232,152,0,0,https://lolchess.gg/profile/KR/FW zns 
41,miTonin,231,137,0,0,https://lolchess.gg/profile/KR/miTonin
42,DragonzKilla,224,144,0,0,https://lolchess.gg/profile/KR/DragonzKilla
43,BEE MédicoDoSUS,217,195,0,0,https://lolchess.gg/profile/KR/BEE MédicoDoSUS
44,KDA wenked,214,122,0,0,https://lolchess.gg/profile/KR/KDA wenked
45,Rafael Araújo,209,182,0,0,https://lolchess.gg/profile/KR/Rafael Araújo
46,RV Thrash,208,121,0,0,https://lolchess.gg/profile/KR/RV Thrash
47,AI CE TOMA,207,115,0,0,https://lolchess.gg/profile/KR/AI CE TOMA
48,Mortdogged,206,100,0,0,https://lolchess.gg/profile/KR/Mortdogged
49,TFTryndaMertens,206,186,0,0,https://lolchess.gg/profile/KR/TFTryndaMertens
50,FOUR ggab,206,113,0,0,https://lolchess.gg/profile/KR/FOUR ggab
51,Koala Esbelto,203,115,0,0,https://lolchess.gg/profile/KR/Koala Esbelto
52,KDA Guiczar,201,126,0,0,https://lolchess.gg/profile/KR/KDA Guiczar
53,Viic,200,190,0,0,https://lolchess.gg/profile/KR/Viic
54,SrCrynox,196,116,0,0,https://lolchess.gg/profile/KR/SrCrynox
55,TFx D klein,193,193,0,0,https://lolchess.gg/profile/KR/TFx D klein
56,zzhcet,190,106,0,0,https://lolchess.gg/profile/KR/zzhcet
57,Mecmeno,173,195,0,0,https://lolchess.gg/profile/KR/Mecmeno
58,Alemaxt,168,174,0,0,https://lolchess.gg/profile/KR/Alemaxt
59,Mallenda,154,150,0,0,https://lolchess.gg/profile/KR/Mallenda
60,gxzera,152,246,0,0,https://lolchess.gg/profile/KR/gxzera
61,FORA Shuji Hanma,151,133,0,0,https://lolchess.gg/profile/KR/FORA Shuji Hanma
62,BEE Phelpz,150,126,0,0,https://lolchess.gg/profile/KR/BEE Phelpz
63,TFx Allancar,141,100,0,0,https://lolchess.gg/profile/KR/TFx Allancar
64,FOUR Balandok,141,117,0,0,https://lolchess.gg/profile/KR/FOUR Balandok
65,fullg,139,90,0,0,https://lolchess.gg/profile/KR/fullg
66,Dinim,136,115,0,0,https://lolchess.gg/profile/KR/Dinim
67,BES Patr0ci,135,155,0,0,https://lolchess.gg/profile/KR/BES Patr0ci
68,DonCrazy,133,183,0,0,https://lolchess.gg/profile/KR/DonCrazy
69,FOUR Levi,119,68,0,0,https://lolchess.gg/profile/KR/FOUR Levi
70,O Rickas,114,173,0,0,https://lolchess.gg/profile/KR/O Rickas
71,DarkMagician,114,113,0,0,https://lolchess.gg/profile/KR/DarkMagician
72,LeS kkamikz,114,133,0,0,https://lolchess.gg/profile/KR/LeS kkamikz
73,KDA Xaue,107,116,0,0,https://lolchess.gg/profile/KR/KDA Xaue
74,eusouolucas,105,129,0,0,https://lolchess.gg/profile/KR/eusouolucas
75,FOUR Breslley,103,76,0,0,https://lolchess.gg/profile/KR/FOUR Breslley
76,EMS glass1,102,113,0,0,https://lolchess.gg/profile/KR/EMS glass1
77,TFx Memkzz,100,183,0,0,https://lolchess.gg/profile/KR/TFx Memkzz
78,CPV JotaR777,99,159,0,0,https://lolchess.gg/profile/KR/CPV JotaR777
79,nojiris,94,79,0,0,https://lolchess.gg/profile/KR/nojiris
80,O HIPER CARRY,93,131,0,0,https://lolchess.gg/profile/KR/O HIPER CARRY
81,Menino André,90,98,0,0,https://lolchess.gg/profile/KR/Menino André
82,move on,90,199,0,0,https://lolchess.gg/profile/KR/move on
83,Bnas MataCalango,87,128,0,0,https://lolchess.gg/profile/KR/Bnas MataCalango
84,DETETIVE ALINE,85,102,0,0,https://lolchess.gg/profile/KR/DETETIVE ALINE
85,ddddddddddiego,83,166,0,0,https://lolchess.gg/profile/KR/ddddddddddiego
86,Tsuuzaki,82,80,0,0,https://lolchess.gg/profile/KR/Tsuuzaki
87,l Hyper Carry l,81,196,0,0,https://lolchess.gg/profile/KR/l Hyper Carry l
88,Zer0ka,79,190,0,0,https://lolchess.gg/profile/KR/Zer0ka
89,MJN Yato,79,199,0,0,https://lolchess.gg/profile/KR/MJN Yato
90, IVERN LAVIGNE,77,120,0,0,https://lolchess.gg/profile/KR/ IVERN LAVIGNE
91,AURA Yoshizito,74,175,0,0,https://lolchess.gg/profile/KR/AURA Yoshizito
92,vovô nuco,73,196,0,0,https://lolchess.gg/profile/KR/vovô nuco
93,TFx Luïx,73,113,0,0,https://lolchess.gg/profile/KR/TFx Luïx
94,Serask,70,83,0,0,https://lolchess.gg/profile/KR/Serask
95,br3niM,69,137,0,0,https://lolchess.gg/profile/KR/br3niM
96,kimochi warui,69,86,0,0,https://lolchess.gg/profile/KR/kimochi warui
97,SpectroTFT,66,118,0,0,https://lolchess.gg/profile/KR/SpectroTFT
98,esA,65,133,0,0,https://lolchess.gg/profile/KR/esA
99,EMS Morrïgan,65,171,0,0,https://lolchess.gg/profile/KR/EMS Morrïgan
100,Canetinha,61,60,0,0,https://lolchess.gg/profile/KR/Canetinha
101,Ieko,59,132,0,0,https://lolchess.gg/profile/KR/Ieko
102,AURA Sneaky,58,120,0,0,https://lolchess.gg/profile/KR/AURA Sneaky
103,LeS XRangerX,58,101,0,0,https://lolchess.gg/profile/KR/LeS XRangerX
104,LokiFc,57,160,0,0,https://lolchess.gg/profile/KR/LokiFc
105,FOUR Jhin,53,117,0,0,https://lolchess.gg/profile/KR/FOUR Jhin
106,vinoxtft,51,252,0,0,https://lolchess.gg/profile/KR/vinoxtft
107,WansuTV,51,295,0,0,https://lolchess.gg/profile/KR/WansuTV
108,favriel1,51,115,0,0,https://lolchess.gg/profile/KR/favriel1
109,C9 Titos,49,154,0,0,https://lolchess.gg/profile/KR/C9 Titos
110,F 5,48,114,0,0,https://lolchess.gg/profile/KR/F 5
111,FOUR Steps Days,47,118,0,0,https://lolchess.gg/profile/KR/FOUR Steps Days
112,KDA Kaos,47,82,0,0,https://lolchess.gg/profile/KR/KDA Kaos
113,Tgrande,47,104,0,0,https://lolchess.gg/profile/KR/Tgrande
114,BEE Jammalz,46,123,0,0,https://lolchess.gg/profile/KR/BEE Jammalz
115,Princes,41,167,0,0,https://lolchess.gg/profile/KR/Princes
116,MBokos,39,140,0,0,https://lolchess.gg/profile/KR/MBokos
117,TTVBebe872,38,172,0,0,https://lolchess.gg/profile/KR/TTVBebe872
118,FEI Soft Finger,38,169,0,0,https://lolchess.gg/profile/KR/FEI Soft Finger
119,t0to0,38,147,0,0,https://lolchess.gg/profile/KR/t0to0
120,BES Narkesh,37,130,0,0,https://lolchess.gg/profile/KR/BES Narkesh
121,FORA Hero,35,157,0,0,https://lolchess.gg/profile/KR/FORA Hero
122,Keukz,34,125,0,0,https://lolchess.gg/profile/KR/Keukz
123, z Noah,34,139,0,0,https://lolchess.gg/profile/KR/ z Noah
124,ph xís,32,176,0,0,https://lolchess.gg/profile/KR/ph xís
125,HawkEyeCs7,31,135,0,0,https://lolchess.gg/profile/KR/HawkEyeCs7
126,OzNe TFT,29,230,0,0,https://lolchess.gg/profile/KR/OzNe TFT
127,TwTv OgumexU,28,92,0,0,https://lolchess.gg/profile/KR/TwTv OgumexU
128,crïspim,28,95,0,0,https://lolchess.gg/profile/KR/crïspim
129,TFx b4zz,27,183,0,0,https://lolchess.gg/profile/KR/TFx b4zz
130,MJN cailul,26,195,0,0,https://lolchess.gg/profile/KR/MJN cailul
131,Sr ÁviIa,26,227,0,0,https://lolchess.gg/profile/KR/Sr ÁviIa
132,420blazeit,26,101,0,0,https://lolchess.gg/profile/KR/420blazeit
133,CPV Biel,24,182,0,0,https://lolchess.gg/profile/KR/CPV Biel
134,TFT muz1n 237,24,108,0,0,https://lolchess.gg/profile/KR/TFT muz1n 237
135,É 0 GRÊMIO,21,44,0,0,https://lolchess.gg/profile/KR/É 0 GRÊMIO
136,Carinha de Raiva,20,105,0,0,https://lolchess.gg/profile/KR/Carinha de Raiva
137,Gzaga,20,170,0,0,https://lolchess.gg/profile/KR/Gzaga
138,Fioravante,18,239,0,0,https://lolchess.gg/profile/KR/Fioravante
139,BOOMZlM,18,238,0,0,https://lolchess.gg/profile/KR/BOOMZlM
140,Toxye1,18,77,0,0,https://lolchess.gg/profile/KR/Toxye1
141,PepeChill,18,168,0,0,https://lolchess.gg/profile/KR/PepeChill
142,Xwmn,17,133,0,0,https://lolchess.gg/profile/KR/Xwmn
143,Maikin,17,147,0,0,https://lolchess.gg/profile/KR/Maikin
144,Yorù ,15,181,0,0,https://lolchess.gg/profile/KR/Yorù 
145,Haxwei,15,41,0,0,https://lolchess.gg/profile/KR/Haxwei
146,Ryok,13,102,0,0,https://lolchess.gg/profile/KR/Ryok
147,TheoZiuL,13,158,0,0,https://lolchess.gg/profile/KR/TheoZiuL
148,Lelouch XVIII,12,181,0,0,https://lolchess.gg/profile/KR/Lelouch XVIII
149,Gummy,12,180,0,0,https://lolchess.gg/profile/KR/Gummy
150,Ungoriath,10,155,0,0,https://lolchess.gg/profile/KR/Ungoriath
151,LGarciax,10,230,0,0,https://lolchess.gg/profile/KR/LGarciax
152,inc mplete,10,209,0,0,https://lolchess.gg/profile/KR/inc mplete
153,CPV AndrewD,10,104,0,0,https://lolchess.gg/profile/KR/CPV AndrewD
154,KDA Bizola,10,109,0,0,https://lolchess.gg/profile/KR/KDA Bizola
155,WarlockJapa,10,303,0,0,https://lolchess.gg/profile/KR/WarlockJapa
156,vowk,10,98,0,0,https://lolchess.gg/profile/KR/vowk
157,INTZ ian,10,171,0,0,https://lolchess.gg/profile/KR/INTZ ian
158,TeteuDeJulietTFT,9,78,0,0,https://lolchess.gg/profile/KR/TeteuDeJulietTFT
159,AYUNI D,8,159,0,0,https://lolchess.gg/profile/KR/AYUNI D
160,Kelkks,7,75,0,0,https://lolchess.gg/profile/KR/Kelkks
161,cnb ketsvne,7,84,0,0,https://lolchess.gg/profile/KR/cnb ketsvne
162,Toom Bombardil,5,117,0,0,https://lolchess.gg/profile/KR/Toom Bombardil
163,Hushtail Jin,5,154,0,0,https://lolchess.gg/profile/KR/Hushtail Jin
164,Capivara xD,4,122,0,0,https://lolchess.gg/profile/KR/Capivara xD
165,Vampyrus,2,169,0,0,https://lolchess.gg/profile/KR/Vampyrus
166,Espectus,2,105,0,0,https://lolchess.gg/profile/KR/Espectus
167,O Lobo Estoico,1,136,0,0,https://lolchess.gg/profile/KR/O Lobo Estoico
168,Ankhol,1,108,0,0,https://lolchess.gg/profile/KR/Ankhol
169,Monzy,0,112,0,0,https://lolchess.gg/profile/KR/Monzy
170,O Abadonn,0,194,0,0,https://lolchess.gg/profile/KR/O Abadonn
171,XEQUlRA,0,182,0,0,https://lolchess.gg/profile/KR/XEQUlRA
172,Zeer001,0,205,0,0,https://lolchess.gg/profile/KR/Zeer001
173,The Black Rose k,0,119,0,0,https://lolchess.gg/profile/KR/The Black Rose k
174,Daniel MoIo,0,78,0,1,https://lolchess.gg/profile/KR/Daniel MoIo
175,Hugotrs,0,187,0,0,https://lolchess.gg/profile/KR/Hugotrs
176,Derykmba,0,101,0,0,https://lolchess.gg/profile/KR/Derykmba
177,gabsreal,0,128,0,0,https://lolchess.gg/profile/KR/gabsreal
178,MJN Suasion,0,121,0,0,https://lolchess.gg/profile/KR/MJN Suasion
179,S1lm4r,0,101,0,0,https://lolchess.gg/profile/KR/S1lm4r
180,Roodri,0,100,0,0,https://lolchess.gg/profile/KR/Roodri
181,SIowroll,0,107,0,0,https://lolchess.gg/profile/KR/SIowroll
182,FOUR Uaiti,0,163,0,0,https://lolchess.gg/profile/KR/FOUR Uaiti
183,TFT Heit,0,205,0,0,https://lolchess.gg/profile/KR/TFT Heit
184,an icon living,0,126,0,0,https://lolchess.gg/profile/KR/an icon living
185,vFixxer,0,104,0,0,https://lolchess.gg/profile/KR/vFixxer
186,hegael,0,178,0,0,https://lolchess.gg/profile/KR/hegael
187,MJN Mathze ,0,164,0,0,https://lolchess.gg/profile/KR/MJN Mathze 
188,BES vipi,0,127,0,0,https://lolchess.gg/profile/KR/BES vipi
189,Pranpriya,0,120,0,0,https://lolchess.gg/profile/KR/Pranpriya
190,gzO,0,100,0,0,https://lolchess.gg/profile/KR/gzO
191,RedLotusBR,0,179,0,0,https://lolchess.gg/profile/KR/RedLotusBR
192,MattH zzZ,0,162,0,0,https://lolchess.gg/profile/KR/MattH zzZ
193,looking for love,0,146,0,0,https://lolchess.gg/profile/KR/looking for love
194,Sh0W,0,118,0,0,https://lolchess.gg/profile/KR/Sh0W
195,TFx Sepeda,0,60,0,0,https://lolchess.gg/profile/KR/TFx Sepeda
196,Sidi Jr,0,74,0,0,https://lolchess.gg/profile/KR/Sidi Jr
197,paivaa tft,0,117,0,0,https://lolchess.gg/profile/KR/paivaa tft
198,Liow,0,187,0,0,https://lolchess.gg/profile/KR/Liow
199,Post Malandro,0,160,0,0,https://lolchess.gg/profile/KR/Post Malandro
200,Garrrido,0,103,0,0,https://lolchess.gg/profile/KR/Garrrido
201,LeS Ocirep12,0,113,0,0,https://lolchess.gg/profile/KR/LeS Ocirep12
202,Lee Lee,2,93,-38,1,https://lolchess.gg/profile/KR/Lee Lee
